Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pris,z,roll,x,pitch,y,196
roll,z,pitch,y,pitch,x,pris,z,pris,x,pitch,y,197
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pitch,y,198
roll,z,pitch,y,pitch,x,pris,y,roll,x,pitch,y,199
roll,z,pitch,y,pitch,x,pris,y,pris,x,pitch,y,200
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pitch,y,201
roll,z,pitch,y,pitch,x,pris,x,roll,x,pitch,y,202
roll,z,pitch,y,pitch,x,pris,x,pris,x,pitch,y,203
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pitch,y,204
roll,z,pitch,y,pitch,x,pris,z,pris,x,pitch,z,205
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pitch,z,206
roll,z,pitch,y,pitch,x,pris,y,pris,x,pitch,z,207
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pitch,z,208
roll,z,pitch,y,pitch,x,pris,x,pris,x,pitch,z,209
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pitch,z,210
roll,z,pitch,y,pitch,x,pris,z,pris,x,pris,x,211
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pris,x,212
roll,z,pitch,y,pitch,x,pris,y,pris,x,pris,x,213
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pris,x,214
roll,z,pitch,y,pitch,x,pris,x,pris,x,pris,x,215
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pris,x,216
roll,z,pitch,y,pitch,x,pris,z,roll,x,pris,y,217
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pris,y,218
roll,z,pitch,y,pitch,x,pris,y,roll,x,pris,y,219
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pris,y,220
roll,z,pitch,y,pitch,x,pris,x,roll,x,pris,y,221
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pris,y,222
roll,z,pitch,y,pitch,x,pris,z,roll,x,pris,z,223
roll,z,pitch,y,pitch,x,pris,z,pitch,x,pris,z,224
roll,z,pitch,y,pitch,x,pris,y,roll,x,pris,z,225
roll,z,pitch,y,pitch,x,pris,y,pitch,x,pris,z,226
roll,z,pitch,y,pitch,x,pris,x,roll,x,pris,z,227
roll,z,pitch,y,pitch,x,pris,x,pitch,x,pris,z,228
roll,z,pitch,y,pitch,x,pris,z,pris,x,roll,x,229
roll,z,pitch,y,pitch,x,pris,z,pitch,x,roll,x,230
roll,z,pitch,y,pitch,x,pris,y,pris,x,roll,x,231
roll,z,pitch,y,pitch,x,pris,y,pitch,x,roll,x,232
roll,z,pitch,y,pitch,x,pris,x,pris,x,roll,x,233
roll,z,pitch,y,pitch,x,pris,x,pitch,x,roll,x,234
roll,z,pitch,y,pitch,x,pris,z,roll,x,roll,y,235
roll,z,pitch,y,pitch,x,pris,z,pris,x,roll,y,236
roll,z,pitch,y,pitch,x,pris,z,pitch,x,roll,y,237
roll,z,pitch,y,pitch,x,pris,y,roll,x,roll,y,238
roll,z,pitch,y,pitch,x,pris,y,pris,x,roll,y,239
roll,z,pitch,y,pitch,x,pris,y,pitch,x,roll,y,240
roll,z,pitch,y,pitch,x,pris,x,roll,x,roll,y,241
roll,z,pitch,y,pitch,x,pris,x,pris,x,roll,y,242
roll,z,pitch,y,pitch,x,pris,x,pitch,x,roll,y,243
roll,z,pitch,y,pitch,x,pris,z,pris,x,roll,z,244
roll,z,pitch,y,pitch,x,pris,z,pitch,x,roll,z,245
roll,z,pitch,y,pitch,x,pris,y,pris,x,roll,z,246
roll,z,pitch,y,pitch,x,pris,y,pitch,x,roll,z,247
roll,z,pitch,y,pitch,x,pris,x,pris,x,roll,z,248
roll,z,pitch,y,pitch,x,pris,x,pitch,x,roll,z,249
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pitch,x,250
roll,z,pitch,y,pitch,x,pris,z,pris,y,pitch,x,251
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pitch,x,252
roll,z,pitch,y,pitch,x,pris,y,pris,y,pitch,x,253
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pitch,x,254
roll,z,pitch,y,pitch,x,pris,x,pris,y,pitch,x,255
roll,z,pitch,y,pitch,x,pris,z,roll,y,pitch,y,256
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pitch,y,257
