,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
183,_roll_z_0_1_roll_y_0_3_pris_z_0_1_pris_y_0_7_roll_x_0_7,,,,,,,,,,,
184,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
185,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_z_0_1_roll_x_0_7,,,,,,,,,,,
186,_roll_z_0_1_pitch_y_0_1_pris_y_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
187,_roll_z_0_1_roll_y_0_3_pris_y_0_3_pitch_y_0_1_roll_z_0_7,,,,,,,,,,,
188,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pris_x_0_1_roll_z_0_5,,,,,,,,,,,
189,_roll_z_0_1_pris_y_0_1_roll_z_0_5_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
190,_roll_z_0_1_pris_y_0_5_roll_y_0_1_pitch_y_0_3_roll_x_0_7,,,,,,,,,,,
191,_roll_z_0_1_pris_y_0_1_roll_y_0_1_pitch_y_0_7_roll_x_0_7,,,,,,,,,,,
192,_roll_z_0_1_roll_y_0_3_pris_y_0_1_pitch_x_0_5_roll_x_0_7,,,,,,,,,,,
193,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_1_pitch_x_0_5,,,,,,,,,,,
194,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
195,_roll_z_0_1_roll_y_0_1_pris_y_0_5_roll_z_0_5_pitch_y_0_7,,,,,,,,,,,
196,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_z_0_5_pitch_y_0_5,,,,,,,,,,,
197,_roll_z_0_1_roll_y_0_1_pris_y_0_5_pitch_z_0_1_pitch_z_0_7,,,,,,,,,,,
198,_roll_z_0_1_roll_y_0_1_pris_y_0_5_pitch_x_0_3_roll_z_0_7,,,,,,,,,,,
199,_roll_z_0_1_pris_y_0_3_pitch_y_0_7_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
200,_roll_z_0_1_pitch_y_0_1_roll_x_0_1_pris_y_0_7_roll_x_0_5,,,,,,,,,,,
201,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_roll_x_0_5,,,,,,,,,,,
