Link1_Length,Link2_Length,Link3_Length,Link4_Length,Link5_Length,Link6_Length,Index
0.1,0.7,0.1,0.1,0.7,0.1,402
0.1,0.7,0.1,0.1,0.7,0.3,403
0.1,0.7,0.1,0.3,0.1,0.1,404
0.1,0.7,0.1,0.3,0.1,0.3,405
0.1,0.7,0.1,0.3,0.1,0.5,406
0.1,0.7,0.1,0.3,0.1,0.7,407
0.1,0.7,0.1,0.3,0.3,0.1,408
0.1,0.7,0.1,0.3,0.3,0.3,409
0.1,0.7,0.1,0.3,0.3,0.5,410
0.1,0.7,0.1,0.3,0.5,0.1,411
0.1,0.7,0.1,0.3,0.5,0.3,412
0.1,0.7,0.1,0.3,0.7,0.1,413
0.1,0.7,0.1,0.5,0.1,0.1,414
0.1,0.7,0.1,0.5,0.1,0.3,415
0.1,0.7,0.1,0.5,0.1,0.5,416
0.1,0.7,0.1,0.5,0.3,0.1,417
0.1,0.7,0.1,0.5,0.3,0.3,418
0.1,0.7,0.1,0.5,0.5,0.1,419
0.1,0.7,0.1,0.7,0.1,0.1,420
0.1,0.7,0.1,0.7,0.1,0.3,421
0.1,0.7,0.1,0.7,0.3,0.1,422
0.1,0.7,0.3,0.1,0.1,0.1,423
0.1,0.7,0.3,0.1,0.1,0.3,424
0.1,0.7,0.3,0.1,0.1,0.5,425
0.1,0.7,0.3,0.1,0.1,0.7,426
0.1,0.7,0.3,0.1,0.3,0.1,427
0.1,0.7,0.3,0.1,0.3,0.3,428
0.1,0.7,0.3,0.1,0.3,0.5,429
0.1,0.7,0.3,0.1,0.5,0.1,430
0.1,0.7,0.3,0.1,0.5,0.3,431
0.1,0.7,0.3,0.1,0.7,0.1,432
0.1,0.7,0.3,0.3,0.1,0.1,433
0.1,0.7,0.3,0.3,0.1,0.3,434
0.1,0.7,0.3,0.3,0.1,0.5,435
0.1,0.7,0.3,0.3,0.3,0.1,436
0.1,0.7,0.3,0.3,0.3,0.3,437
0.1,0.7,0.3,0.3,0.5,0.1,438
0.1,0.7,0.3,0.5,0.1,0.1,439
0.1,0.7,0.3,0.5,0.1,0.3,440
0.1,0.7,0.3,0.5,0.3,0.1,441
0.1,0.7,0.3,0.7,0.1,0.1,442
0.1,0.7,0.5,0.1,0.1,0.1,443
0.1,0.7,0.5,0.1,0.1,0.3,444
0.1,0.7,0.5,0.1,0.1,0.5,445
0.1,0.7,0.5,0.1,0.3,0.1,446
0.1,0.7,0.5,0.1,0.3,0.3,447
0.1,0.7,0.5,0.1,0.5,0.1,448
0.1,0.7,0.5,0.3,0.1,0.1,449
0.1,0.7,0.5,0.3,0.1,0.3,450
0.1,0.7,0.5,0.3,0.3,0.1,451
0.1,0.7,0.5,0.5,0.1,0.1,452
0.1,0.7,0.7,0.1,0.1,0.1,453
0.1,0.7,0.7,0.1,0.1,0.3,454
0.1,0.7,0.7,0.1,0.3,0.1,455
0.1,0.7,0.7,0.3,0.1,0.1,456
