Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,pitch,y,pris,y,roll,y,pitch,y,295
roll,z,pris,z,pitch,y,pris,y,roll,y,pris,z,296
roll,z,pris,z,pitch,y,pris,y,roll,y,pris,y,297
roll,z,pris,z,pitch,y,pris,y,pitch,y,roll,y,298
roll,z,pris,z,pitch,y,pris,y,pitch,y,pitch,y,299
roll,z,pris,z,pitch,y,pris,y,pitch,y,pris,z,300
roll,z,pris,z,pitch,y,pris,y,pitch,y,pris,y,301
roll,z,pris,z,pitch,y,pris,y,pitch,y,pitch,z,302
roll,z,pris,z,pitch,y,pris,y,pitch,y,roll,x,303
roll,z,pris,z,pitch,y,pris,y,pitch,y,pris,x,304
roll,z,pris,z,pitch,y,pris,y,pitch,y,roll,z,305
roll,z,pris,z,pitch,y,pris,y,pitch,y,pitch,x,306
roll,z,pris,z,pitch,y,pris,y,pris,y,roll,y,307
roll,z,pris,z,pitch,y,pris,y,pris,y,pitch,y,308
roll,z,pris,z,pitch,y,pris,y,pris,y,pitch,z,309
roll,z,pris,z,pitch,y,pris,y,pris,y,roll,x,310
roll,z,pris,z,pitch,y,pris,y,pris,y,roll,z,311
roll,z,pris,z,pitch,y,pris,y,pris,y,pitch,x,312
roll,z,pris,z,pitch,y,pris,y,pitch,z,roll,y,313
roll,z,pris,z,pitch,y,pris,y,pitch,z,pitch,y,314
roll,z,pris,z,pitch,y,pris,y,pitch,z,pris,z,315
roll,z,pris,z,pitch,y,pris,y,pitch,z,pris,y,316
roll,z,pris,z,pitch,y,pris,y,pitch,z,pitch,z,317
roll,z,pris,z,pitch,y,pris,y,pitch,z,roll,x,318
roll,z,pris,z,pitch,y,pris,y,pitch,z,pris,x,319
roll,z,pris,z,pitch,y,pris,y,pitch,z,roll,z,320
roll,z,pris,z,pitch,y,pris,y,pitch,z,pitch,x,321
roll,z,pris,z,pitch,y,pris,y,roll,x,roll,y,322
roll,z,pris,z,pitch,y,pris,y,roll,x,pitch,y,323
roll,z,pris,z,pitch,y,pris,y,roll,x,pris,z,324
roll,z,pris,z,pitch,y,pris,y,roll,x,pris,y,325
roll,z,pris,z,pitch,y,pris,y,pris,x,roll,y,326
roll,z,pris,z,pitch,y,pris,y,pris,x,pitch,y,327
roll,z,pris,z,pitch,y,pris,y,pris,x,pitch,z,328
roll,z,pris,z,pitch,y,pris,y,pris,x,roll,x,329
roll,z,pris,z,pitch,y,pris,y,pris,x,roll,z,330
roll,z,pris,z,pitch,y,pris,y,pris,x,pitch,x,331
roll,z,pris,z,pitch,y,pris,y,roll,z,roll,y,332
roll,z,pris,z,pitch,y,pris,y,roll,z,pitch,y,333
roll,z,pris,z,pitch,y,pris,y,roll,z,pris,y,334
roll,z,pris,z,pitch,y,pris,y,pitch,x,roll,y,335
roll,z,pris,z,pitch,y,pris,y,pitch,x,pitch,y,336
roll,z,pris,z,pitch,y,pris,y,pitch,x,pris,z,337
roll,z,pris,z,pitch,y,pris,y,pitch,x,pris,y,338
roll,z,pris,z,pitch,y,pris,y,pitch,x,pitch,z,339
